"DAY SHEETS, as at 9:16AM on Wednesday 10th"
DAY 1: Monday 23rd March 2026
307 (P),13:28,42,B U18 2X,repechage,1,TAKA 1,HAUR 2,WNCS 1,GBHS 1,CBHS 1,,NELB 1,WLCO 1,,"1-2=S; 3-4=FC"
308 (Q),13:33,42,B U18 2X,repechage,2,STCC 1,TAUH 1,SJHM 1,NAPB 1,TAUP 1,TRGB 1,WAKA 1,,,"1-2=S; 3-4=FC"
309 (R),13:38,42,B U18 2X,repechage,3,GLDW 1,SHIR 1,MTAL 1,NGAR 1,HLCR 1,JPCR 1,STBD 1,AOTE 1,,"1-2=S; 3-4=FC"
310 (S),13:43,43,G U15 8+,repechage,1,WTLG 1,CGHS 1,DIOC 1,RRGS 1,EGGS 1,STMG 1,STMG 2,BARA 1,,"1-6=F; Rest=FB"
311 (T),13:48,44,B U15 4+,repechage,1,CBHS 4,TIMB 1,SHAK 1,CBHS 2,CBHS 1,WTLB 3,STCC 2,CBHS 3,,"1=FA; 2-5=FB"
312 (U),13:53,44,B U15 4+,repechage,2,ASHB 1,WTLB 2,KGCA 2,STBD 1,SJHM 1,HAMB 2,MTAL 1,,,"1=FA; 2-5=FB"
313 (V),13:58,45,G U17 2X,quarter-final,1,HLCR 1,CASH 1,ACGT 1,WEGC 1,BURN 1,VILL 1,AVSG 1,,,"1-4=S; 5,6=FC; 7=FD"
314 (W),14:03,45,G U17 2X,quarter-final,2,STCA 1,SCOT 1,NCOG 1,HAUR 1,DUNS 1,OGHS 1,WENT 1,,,"1-4=S; 5,6=FC; 7=FD"
315 (X),14:08,45,G U17 2X,quarter-final,3,WKDS 1,,CRAI 1,CAMB 1,MTAL 1,WNCS 1,GGHS 1,,,"1-4=S; 5,6=FC; 7=FD"
316 (Y),14:13,45,G U17 2X,quarter-final,4,WAKA 1,MARN 1,QMAR 1,HUAN 1,TAKA 1,WHGG 1,SLDG 1,,,"1-4=S; 5,6=FC; 7=FD"
317 (Z),14:18,46,B U17 4X+,repechage,1,GLDW 1,SPLH 2,ONSL 1,STKT 1,MLBB 1,STBD 1,AQUI 1,GBHS 1,,"1-3=S; Rest Elim"
318 (A),14:23,46,B U17 4X+,repechage,2,WLCO 2,WHAK 2,WAKA 2,WHAK 1,WLCO 1,JMCG 1,STAN 1,,,"1-3=S; Rest Elim"
319 (B),14:27,47,G N18 4+,repechage,1,SHGH 2,BTHC 1,WTKG 2,MLBG 1,EGGS 1,DIOC 1,NPLG 1,STPC 1,,"1=FA; 2-5=FB"
320 (C),14:31,47,G N18 4+,repechage,2,ASHB 1,NCOG 1,EGGS 2,WNHS 1,CGHS 3,SHGH 1,OTUM 1,,,"1=FA; 2-5=FB"
321 (D),14:35,48,B N18 4X+,repechage,1,JMCG 1,STKT 2,TIMB 1,PAPA 1,STPA 1,TRGB 1,DUNS 1,SCOT 1,,"1-3=S; Rest Elim"
322 (E),14:39,48,B N18 4X+,repechage,2,CHCO 1,MLBB 1,BTHC 1,WAKA 2,STPC 2,SPLH 1,STBD 2,,,"1-3=S; Rest Elim"
323 (F),14:43,49,G U16 2X,quarter-final,1,VILL 1,WLGC 1,CAMB 1,WHGG 1,COLU 1,HAMG 1,HUAN 1,JHAR 1,,"1-4=S; 5,6=FC; 7,8=FD"
324 (G),14:47,49,G U16 2X,quarter-final,2,SHGH 1,GARI 1,MARN 1,MTAL 1,CASH 1,HOWI 1,WNHS 2,NCOG 1,,"1-4=S; 5,6=FC; 7,8=FD"
325 (H),14:51,49,G U16 2X,quarter-final,3,CGHS 1,TAKA 1,JPCR 1,STPC 1,WNHS 1,CRAI 1,STIL 1,,,"1-4=S; 5,6=FC; 7,8=FD"
326 (I),14:55,49,G U16 2X,quarter-final,4,WTLG 1,HLCR 1,BURN 1,WAKA 1,STMW 1,AVSG 1,STHI 1,,,"1-4=S; 5,6=FC; 7,8=FD"
327 (J),14:59,50,B U16 1X,repechage,1,HLMT 1,TAUP 1,BURN 2,JMCG 1,PARN 1,WHGB 1,TEAW 1,SPTW 1,,"1,2=FA; 3-6=FB"
328 (K),15:03,50,B U16 1X,repechage,2,CAMB 1,AQUI 1,TRGB 1,NELB 1,BURN 1,WNHS 1,BTHC 1,PUKE 1,,"1,2=FA; 3-6=FB"
329 (L),15:07,51,G U18 8+,repechage,1,BARA 1,RRGS 3,STAN 1,RRGS 1,WNCS 1,WKDS 2,VILL 1,,,"1-3=FA"
330 (M),15:11,51,G U18 8+,repechage,2,RRGS 2,BARA 2,EGGS 1,CGHS 1,DIOC 1,SHGH 1,STMG 2,,,"1-3=FA"
331 (N),15:15,52,B U18 8+,repechage,1,CHCO 3,AGSB 2,CBHS 1,HAMB 1,CHCO 1,HAMB 2,STCC 1,,,"1-3=FA"
332 (O),15:19,52,B U18 8+,repechage,2,WTLB 2,TRGB 1,KGCA 2,STBD 1,WTLB 1,STPA 1,CHCO 2,,,"1-3=FA"
333 (P),15:43,1,B U17 1X,final,D,,,,,,TAUP 3,,,,""
334 (Q),15:47,1,B U17 1X,final,C,ASHB 1,WAKA 2,FRAN 2,STCC 1,ONSL 1,STKT 1,HAMB 1,BTHC 1,,""
335 (R),15:51,1,B U17 1X,semi-final,1,SHIR 1,BURN 1,MTAL 1,TIMB 1,NAPB 1,SPTW 1,NPLB 1,PUKE 1,,"1-4=FA; 5-8=FB"
336 (S),15:55,1,B U17 1X,semi-final,2,JMCG 1,STLN 1,WNHS 1,HAUR 1,FRAN 1,CASH 1,SHIR 2,WENT 1,,"1-4=FA; 5-8=FB"
337 (T),15:59,4,G U15 4X+,semi-final,1,STMW 1,WHGG 1,KGCA 1,HAMG 1,STHI 1,WAKA 1,STPC 2,VILL 1,,"1-4=FA; 5-8=FB"
338 (U),16:03,4,G U15 4X+,semi-final,2,IONA 1,WAKA 2,CRAI 1,STPC 1,DIOC 1,TAKA 1,WNHS 1,WTKG 1,,"1-4=FA; 5-8=FB"
339 (V),16:07,8,G U16 1X,semi-final,1,STHI 1,MTAL 1,WHGG 1,HOWI 1,COLU 1,JPCR 1,MARN 1,GARI 1,,"1-4=FA; 5-8=FB"
340 (W),16:11,8,G U16 1X,semi-final,2,HAMG 1,QHSD 1,MLBG 1,SAMU 1,KGCA 1,LINC 1,SHGN 1,AOTE 1,WNHS 1,"1-4=FA; 5-8=FB"
341 (X),16:15,5,B U18 2-,semi-final,1,STCC 1,SHIR 1,CHCO 1,WTLB 1,AGSB 2,SJHM 1,MTAL 1,HASB 1,,"1-4=FA; Rest=FB"
342 (Y),16:19,5,B U18 2-,semi-final,2,JPCR 1,SJHM 2,WTKB 1,KGCA 1,AGSB 1,WLCO 1,STAN 1,AOTE 1,,"1-4=FA; Rest=FB"
343 (Z),16:23,6,G U18 2X,final,D,EGGS 1,VILL 2,STLN 1,WTKG 1,KGCA 1,MTAL 1,HOWI 1,GLDW 2,,""
344 (A),16:27,6,G U18 2X,final,C,,WHGG 1,GLDW 1,WLGC 2,JHAR 1,HLCR 1,STCA 1,STPC 1,,""
345 (B),16:31,6,G U18 2X,semi-final,1,DIOC 1,VILL 1,WEGC 1,HAUR 1,CASH 1,CRAI 1,STKT 1,DUNS 1,,"1-4=FA; Rest=FB"
346 (C),16:35,6,G U18 2X,semi-final,2,OGHS 1,HLMT 1,COLU 1,STCU 1,QMAR 1,SPLH 1,SHGN 1,IONA 1,,"1-4=FA; Rest=FB"
347 (D),16:39,9,B N18 2X,semi-final,1,BURN 1,MLBB 1,PAPA 1,HASB 1,JMCG 1,FRAN 1,WHGB 1,WLCO 1,,"1-4=FA; 5-8=FB"
348 (E),16:43,9,B N18 2X,semi-final,2,DUNS 1,HAUR 1,SPLH 1,MTAS 1,WNHS 1,TIMB 1,ASHB 1,GARI 1,,"1-4=FA; 5-8=FB"
349 (F),17:11,12,G U17 4X+,semi-final,1,WNCS 1,CRAI 1,MTAL 1,ASHB 1,WNHS 1,WEGC 1,SPLH 1,TAKA 1,,"1-4=FA; 5-8=FB"
350 (G),17:15,12,G U17 4X+,semi-final,2,HAMG 1,ACGT 1,OGHS 1,MARN 1,BURN 1,HAUR 1,WNHS 2,WAKA 1,,"1-4=FA; 5-8=FB"

DAY 4: Thursday 26th March 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_3,lane_4,lane_5,lane_6,lane_7,lane_8,lane_9,Progression
351 (A),08:00,29,G U18 1X,quarter-final,1,STKV 1,TAUP 1,GGHS 1,STMG 1,WTLG 1,ROTG 1,MTAL 1,MLBG 1,,"1-4=S; 5,6=FC; Rest=FD"
352 (B),08:05,29,G U18 1X,quarter-final,2,MARN 1,AVSG 1,RAHS 1,HAUR 1,GLDW 1,NGAR 1,STLN 1,,,"1-4=S; 5,6=FC; Rest=FD"
353 (C),08:10,29,G U18 1X,quarter-final,3,NAYL 1,CRAI 2,CAMB 1,CASH 1,COLU 1,STPC 1,HLMT 1,OGHS 1,,"1-4=S; 5,6=FC; Rest=FD"
354 (D),08:15,29,G U18 1X,quarter-final,4,SHGN 1,WAKA 1,JHAR 1,HAMG 1,KGCA 1,WKDS 1,CRAI 1,QMAR 1,,"1-4=S; 5,6=FC; Rest=FD"
355 (E),08:45,15,B U18 4X+,semi-final,1,SPLH 2,TRGB 1,STPC 1,SPLH 1,SHAK 1,MLBB 1,WNCS 1,NELB 1,,"1-4=FA; Rest=FB"
356 (F),08:50,15,B U18 4X+,semi-final,2,SHIR 1,WNHS 1,GBHS 1,WAKA 1,HAUR 1,KGCA 1,STPA 1,WLCO 1,,"1-4=FA; Rest=FB"
357 (G),08:55,16,G U18 2-,semi-final,1,COLU 1,STAN 2,WNCS 1,WKDS 1,RRGS 1,STMG 1,STKT 1,CGHS 1,,"1-4=FA; Rest=FB"
358 (H),09:00,16,G U18 2-,semi-final,2,SHGH 1,MLBG 1,WTLG 1,EGGS 1,SAMU 1,STAN 1,MARN 1,EGGS 2,,"1-4=FA; Rest=FB"
359 (I),09:05,20,G N18 2X,semi-final,1,GLDW 2,SLDG 1,WENT 1,SHGH 1,GERA 1,HUAN 1,MLBG 1,GARI 1,,"1-4=FA; 5-8=FB"
360 (J),09:10,20,G N18 2X,semi-final,2,NAPG 1,MACL 1,NPLG 1,COLU 1,VILL 1,HOWI 1,TIMG 1,AVSG 1,,"1-4=FA; 5-8=FB"
361 (K),09:45,21,B U17 2X,final,D,,HOWI 1,CASH 1,,,,OTUM 1,,,""
362 (L),09:50,21,B U17 2X,final,C,KHSD 1,AQUI 1,SCOT 1,STCC 1,TAUP 1,STBD 1,ONSL 1,TIMB 2,,""
363 (M),09:55,21,B U17 2X,semi-final,1,WLCO 1,SPLH 1,SHIR 1,FRAN 1,WNHS 1,WHAK 1,GLDW 1,JMCG 1,,"1-4=FA; 5-8=FB"
364 (N),10:00,21,B U17 2X,semi-final,2,NELB 1,WTKB 1,NAPB 1,WNCS 1,BURN 1,GBHS 1,OBHS 1,TIMB 1,,"1-4=FA; 5-8=FB"
365 (O),10:05,22,G U17 1X,final,D, - - CANCELLED - -,,,,,,,,,""
366 (P),10:10,22,G U17 1X,final,C,STOR 1,AVSG 1,IONA 1,WKDS 1,ROTL 1,IONA 2,BURN 2,SAMU 1,,""
367 (Q),10:15,22,G U17 1X,semi-final,1,HUAN 2,ROTG 1,ACGT 1,ASHB 1,DUNS 1,BURN 1,LINC 1,STCA 1,,"1-4=FA; 5-8=FB"
368 (R),10:20,22,G U17 1X,semi-final,2,MARN 1,WLGC 2,STCU 1,HUAN 1,QMAR 1,WENT 1,AQUI 1,HAUR 2,,"1-4=FA; 5-8=FB"
369 (S),10:25,27,G U16 4X+,final,D,,TRGG 1,NCOG 1,WTLG 1,PUKE 1,JPCR 1,JHAR 1,,,""
370 (T),10:30,27,G U16 4X+,final,C,TAKA 1,OTUM 1,BARA 1,BURN 1,STMG 1,CRAI 1,STMW 1,WAKA 2,,""
371 (U),10:35,27,G U16 4X+,semi-final,1,KGCA 1,DIOC 1,MTAL 1,COLU 1,QMAR 1,DIOC 2,MARN 1,VILL 1,,"1-4=FA; 5-8=FB"
372 (V),10:40,27,G U16 4X+,semi-final,2,WHGG 1,HAMG 1,WNHS 1,CASH 1,WAKA 1,HOWI 1,STHI 1,STPC 1,,"1-4=FA; 5-8=FB"
373 (W),10:45,28,B U16 2X,semi-final,1,SPLH 1,WHAK 1,JMCG 1,ONSL 1,SHAK 1,CASH 2,BURN 1,CAMB 1,,"1-4=FA; 5-8=FB"
374 (X),10:50,28,B U16 2X,semi-final,2,SJHM 1,HAMB 1,MACL 1,WAKA 1,MTAL 1,RAHS 1,WNCS 1,SHIR 1,,"1-4=FA; 5-8=FB"
375 (Y),10:55,29,G U18 1X,final,D,OGHS 1,MLBG 1,NAYL 1,MTAL 1,AVSG 1,,,SHGN 1,,""
376 (Z),11:00,29,G U18 1X,final,C,HLMT 1,STKV 1,CRAI 2,TAUP 1,MARN 1,WAKA 1,STLN 1,WKDS 1,,""
377 (A),11:05,29,G U18 1X,semi-final,1,GLDW 1,GGHS 1,RAHS 1,STMG 1,CASH 1,CRAI 1,COLU 1,JHAR 1,,"1-4=FA; Rest=FB"
378 (B),11:10,29,G U18 1X,semi-final,2,WTLG 1,NGAR 1,ROTG 1,HAUR 1,HAMG 1,CAMB 1,KGCA 1,STPC 1,,"1-4=FA; Rest=FB"
379 (C),11:15,30,B U18 1X,final,D,TIMB 1,,,SPTW 1,LIND 1,,TRGB 2,,,""
380 (D),11:20,30,B U18 1X,final,C,AOTE 1,STCC 2,WENT 1,PUKE 1,HLCR 1,SHAK 1,FRAN 1,HASB 1,,""
381 (E),11:25,30,B U18 1X,semi-final,1,OTUM 1,NPLB 1,MTAL 1,HAMB 1,MLBB 1,NELB 1,SPLH 1,STPC 1,,"1-4=FA; Rest=FB"
382 (F),11:30,30,B U18 1X,semi-final,2,STPA 1,GBHS 1,SPLH 2,BAYF 1,TRGB 1,STKV 1,WAKA 1,WLCO 1,,"1-4=FA; Rest=FB"
383 (G),11:35,45,G U17 2X,final,D,,,,HLCR 1,OGHS 1,SLDG 1,,,,""
384 (H),11:40,45,G U17 2X,final,C,WKDS 1,CASH 1,GGHS 1,AVSG 1,STCA 1,WHGG 1,SCOT 1,WAKA 1,,""
385 (I),11:45,45,G U17 2X,semi-final,1,WENT 1,WEGC 1,HAUR 1,BURN 1,CAMB 1,QMAR 1,CRAI 1,MARN 1,,"1-4=FA; 5-8=FB"
386 (J),11:50,45,G U17 2X,semi-final,2,VILL 1,NCOG 1,ACGT 1,DUNS 1,HUAN 1,MTAL 1,TAKA 1,WNCS 1,,"1-4=FA; 5-8=FB"
387 (K),11:55,46,B U17 4X+,semi-final,1,JMCG 1,SHAK 1,STPC 1,WNHS 1,OBHS 1,TIMB 1,SPLH 2,MLBB 1,,"1-4=FA; 5-8=FB"
388 (L),12:00,46,B U17 4X+,semi-final,2,STKT 1,SHIR 1,WNCS 1,WAKA 1,SPLH 1,STCC 1,WLCO 1,WHAK 1,,"1-4=FA; 5-8=FB"
389 (M),12:05,48,B N18 4X+,semi-final,1,BTHC 1,STKT 1,WNHS 1,STPC 1,FRAN 1,KGCA 1,STPA 1,PAPA 1,,"1-4=FA; 5-8=FB"
390 (N),12:10,48,B N18 4X+,semi-final,2,TIMB 1,AGSB 1,STBD 1,WAKA 1,MTAS 1,BURN 1,MLBB 1,SPLH 1,,"1-4=FA; 5-8=FB"
391 (O),12:45,49,G U16 2X,final,D,,VILL 1,,HUAN 1,,HLCR 1,SHGH 1,,,""
392 (P),12:50,49,G U16 2X,final,C,CGHS 1,JHAR 1,CRAI 1,CAMB 1,GARI 1,WTLG 1,NCOG 1,AVSG 1,,""
393 (Q),12:55,49,G U16 2X,semi-final,1,HOWI 1,WLGC 1,MTAL 1,COLU 1,WNHS 1,BURN 1,TAKA 1,STHI 1,,"1-4=FA; 5-8=FB"
394 (R),13:00,49,G U16 2X,semi-final,2,HAMG 1,MARN 1,WHGG 1,CASH 1,STMW 1,STPC 1,WAKA 1,STIL 1,,"1-4=FA; 5-8=FB"
395 (S),13:05,42,B U18 2X,final,C,,TRGB 1,HLCR 1,GBHS 1,SJHM 1,CBHS 1,MTAL 1,,,""
396 (T),13:10,42,B U18 2X,semi-final,1,TAUP 1,SHAK 1,SPLH 2,NPLB 1,HAUR 1,FRAN 1,HAUR 2,SHIR 1,,"1-4=FA; Rest=FB"
397 (U),13:15,42,B U18 2X,semi-final,2,NGAR 1,STPC 1,SPTW 1,SPLH 1,WNHS 1,MLBB 1,NAPB 1,WNCS 1,,"1-4=FA; Rest=FB"

DAY 5: Friday 27th March 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_3,lane_4,lane_5,lane_6,lane_7,lane_8,lane_9,Progression
398 (A),08:23,1,B U17 1X,final,B,PUKE 1,NPLB 1,BURN 1,SHIR 1,STLN 1,CASH 1,JMCG 1,WENT 1,,""
399 (B),08:30,1,B U17 1X,final,A,SPTW 1,HAUR 1,MTAL 1,FRAN 1,TIMB 1,WNHS 1,NAPB 1,SHIR 2,,"medals"
400 (C),08:43,2,G U17 4+,final,B,HAMG 1,STMG 2,RRGS 2,WKDS 2,STKT 1,WLGC 1,CASH 1,DIOC 1,,""
401 (D),08:50,2,G U17 4+,final,A,BARA 1,RRGS 1,CGHS 1,WNCS 1,WKDS 1,ASHB 1,DIOC 2,STMG 1,,"medals"
402 (E),09:03,3,B U15 2X,final,B,TAKA 1,WNHS 1,GARI 1,TIMB 1,GLDW 1,MTAS 1,HLMT 1,DUNS 1,,""
403 (F),09:10,3,B U15 2X,final,A,HAUR 1,WNCS 1,HAMB 1,JMCG 1,SPLH 1,BURN 1,TRGB 1,ONSL 1,,"medals"
404 (G),09:23,4,G U15 4X+,final,B,VILL 1,STPC 2,STMW 1,WHGG 1,WAKA 2,IONA 1,TAKA 1,WTKG 1,,""
405 (H),09:30,4,G U15 4X+,final,A,STHI 1,CRAI 1,KGCA 1,STPC 1,HAMG 1,DIOC 1,WAKA 1,WNHS 1,,"medals"
406 (I),09:43,5,B U18 2-,final,B,MTAL 1,SHIR 1,HASB 1,STCC 1,WTKB 1,JPCR 1,WLCO 1,AOTE 1,,""
407 (J),09:50,5,B U18 2-,final,A,SJHM 1,STAN 1,AGSB 2,KGCA 1,WTLB 1,AGSB 1,CHCO 1,SJHM 2,,"medals"
408 (K),10:03,6,G U18 2X,final,B,DUNS 1,STKT 1,DIOC 1,CRAI 1,IONA 1,HLMT 1,SHGN 1,OGHS 1,,""
409 (L),10:10,6,G U18 2X,final,A,VILL 1,QMAR 1,HAUR 1,STCU 1,WEGC 1,SPLH 1,CASH 1,COLU 1,,"medals"
410 (M),10:23,7,B U16 4X+,final,B,STKT 2,STAN 1,STKT 1,SHIR 1,MTAL 1,STBD 1,SPLH 1,HAMB 1,,""
411 (N),10:30,7,B U16 4X+,final,A,STPA 1,WAKA 2,JMCG 1,WNCS 1,CASH 1,WAKA 1,KGCA 1,WLCO 1,,"medals"
412 (O),10:43,8,G U16 1X,final,B,GARI 1,MARN 1,JPCR 1,STHI 1,KGCA 1,QHSD 1,HAMG 1,AOTE 1,,""
413 (P),10:50,8,G U16 1X,final,A,MTAL 1,SAMU 1,HOWI 1,LINC 1,COLU 1,MLBG 1,WHGG 1,SHGN 1,,"medals"
414 (Q),11:03,9,B N18 2X,final,B,WLCO 1,WHGB 1,JMCG 1,FRAN 1,GARI 1,TIMB 1,SPLH 1,DUNS 1,,""
415 (R),11:10,9,B N18 2X,final,A,PAPA 1,ASHB 1,HASB 1,HAUR 1,MLBB 1,MTAS 1,BURN 1,WNHS 1,,"medals"
416 (S),11:23,10,G N18 8+,final,B,,STMG 2,STPC 1,DIOC 1,STMG 1,CASH 1,,,,""
417 (T),11:30,10,G N18 8+,final,A,RRGS 2,CGHS 1,WKDS 1,RRGS 1,SHGH 1,WTKG 1,EGGS 1,STCU 1,,"medals"
418 (U),11:43,11,B U17 8+,final,B,,CHCO 3,STCC 1,WTLB 1,,CHCO 2,,,,""
419 (V),11:50,11,B U17 8+,final,A,KGCA 1,TIMB 1,CHCO 1,STBD 1,STPA 1,AGSB 1,STKT 1,STAN 1,,"medals"
420 (W),12:03,12,G U17 4X+,final,B,WNCS 1,CRAI 1,TAKA 1,SPLH 1,HAMG 1,MARN 1,ACGT 1,,,""
421 (X),12:10,12,G U17 4X+,final,A,WEGC 1,OGHS 1,WNHS 1,HAUR 1,ASHB 1,BURN 1,MTAL 1,WNHS 2,,"medals"
422 (Y),12:23,13,B U15 8X+,final,B,,TRGB 1,JMCG 1,AGSB 2,HAMB 1,STPC 1,,,,""
423 (Z),12:30,13,B U15 8X+,final,A,MLBB 1,SHIR 1,STKT 1,AGSB 1,WAKA 1,CHCO 1,STPA 1,STCC 1,,"medals"
424 (A),12:43,14,G U15 4+,final,B,WTLG 2,WTLG 1,QMAR 1,STMG 1,WTKG 1,BARA 2,QMAR 2,TRGG 1,,""
425 (B),12:50,14,G U15 4+,final,A,WKDS 1,STPC 1,BARA 1,KGCA 1,TIMG 1,RRGS 1,SAMU 1,CGHS 1,,"medals"
426 (C),13:03,15,B U18 4X+,final,B,NELB 1,SPLH 2,WNCS 1,TRGB 1,STPA 1,GBHS 1,SHIR 1,WLCO 1,,""
427 (D),13:10,15,B U18 4X+,final,A,MLBB 1,HAUR 1,STPC 1,WNHS 1,SPLH 1,WAKA 1,SHAK 1,KGCA 1,,"medals"
428 (E),13:23,16,G U18 2-,final,B,STKT 1,CGHS 1,COLU 1,,STAN 1,SHGH 1,EGGS 2,MARN 1,,""
429 (F),13:30,16,G U18 2-,final,A,STMG 1,SAMU 1,WNCS 1,EGGS 1,WKDS 1,WTLG 1,STAN 2,MLBG 1,,"medals"
430 (G),13:43,17,B U16 4+,final,B,AGSB 2,STPA 2,AGSB 1,TIMB 1,STKT 1,WAKA 1,CBHS 3,STAN 1,,""
431 (H),13:50,17,B U16 4+,final,A,CHCO 1,STPA 1,WLCO 1,CBHS 1,HAMB 1,KGCA 1,STBD 1,CASH 1,,"medals"
432 (I),14:03,18,G U16 8+,final,B,,,BARA 1,EGGS 1,STAN 1,OTUM 1,,,,""
433 (J),14:10,18,G U16 8+,final,A,STMG 2,QMAR 1,WKDS 1,STMG 1,CGHS 1,DIOC 1,MLBG 1,STPC 1,,"medals"
434 (K),14:23,19,B N18 8+,final,B,JMCG 1,HAMB 2,AGSB 2,SPTW 1,SHAK 1,CASH 1,STBD 2,,,""
435 (L),14:30,19,B N18 8+,final,A,SLDB 1,CBHS 1,HAMB 1,CHCO 1,STBD 1,AGSB 1,KGCA 1,TRGB 1,,"medals"
436 (M),14:43,20,G N18 2X,final,B,GARI 1,GLDW 2,HUAN 1,MLBG 1,MACL 1,HOWI 1,AVSG 1,NAPG 1,,""
437 (N),14:50,20,G N18 2X,final,A,WENT 1,VILL 1,GERA 1,COLU 1,SHGH 1,NPLG 1,SLDG 1,TIMG 1,,"medals"
438 (O),15:03,21,B U17 2X,final,B,WHAK 1,JMCG 1,WLCO 1,GLDW 1,OBHS 1,GBHS 1,WNCS 1,TIMB 1,,""
439 (P),15:10,21,B U17 2X,final,A,SPLH 1,BURN 1,FRAN 1,NAPB 1,SHIR 1,NELB 1,WNHS 1,WTKB 1,,"medals"
440 (Q),15:23,22,G U17 1X,final,B,HUAN 2,STCA 1,LINC 1,BURN 1,AQUI 1,WLGC 2,MARN 1,,,""
441 (R),15:30,22,G U17 1X,final,A,ROTG 1,HUAN 1,DUNS 1,STCU 1,ASHB 1,QMAR 1,ACGT 1,WENT 1,,"medals"
442 (S),15:43,23,G U15 8X+,final,B,,,,STCU 1,STMG 1,,,,,""
443 (T),15:50,23,G U15 8X+,final,A,STHI 1,TAKA 1,CRAI 1,WAKA 1,DIOC 1,STKT 1,STPC 1,QMAR 1,,"medals"
444 (U),16:10,24,B U15 8+,final,A,SHIR 1,CBHS 1,WTLB 1,HAMB 1,KGCA 1,STCC 1,MTAL 1,CBHS 2,,"medals"
445 (V),16:23,25,B U18 4+,final,B,,MTAL 1,CBHS 2,AGSB 2,HASB 1,AGSB 3,,,,""
446 (W),16:30,25,B U18 4+,final,A,HAMB 2,CBHS 1,AGSB 1,WTLB 1,HAMB 1,CHCO 1,KGCA 1,SJHM 1,,"medals"
447 (X),16:43,26,G U18 4+,final,B,WLGC 1,STAN 2,WKDS 2,WTLG 1,SHGH 1,WNCS 2,BARA 1,RRGS 2,,""
448 (Y),16:50,26,G U18 4+,final,A,EGGS 1,CGHS 1,CASH 1,RRGS 1,WNCS 1,WKDS 1,STAN 1,MLBG 1,,"medals"

DAY 6: Saturday 28th March 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_3,lane_4,lane_5,lane_6,lane_7,lane_8,lane_9,Progression
449 (A),08:23,27,G U16 4X+,final,B,VILL 1,DIOC 2,MARN 1,KGCA 1,WHGG 1,HOWI 1,STPC 1,STHI 1,,""
450 (B),08:30,27,G U16 4X+,final,A,MTAL 1,HAMG 1,QMAR 1,WNHS 1,COLU 1,CASH 1,DIOC 1,WAKA 1,,"medals"
451 (C),08:43,28,B U16 2X,final,B,CAMB 1,SPLH 1,BURN 1,WHAK 1,HAMB 1,SJHM 1,SHIR 1,MACL 1,,""
452 (D),08:50,28,B U16 2X,final,A,ONSL 1,WNCS 1,SHAK 1,MTAL 1,JMCG 1,WAKA 1,CASH 2,RAHS 1,,"medals"
453 (E),09:03,29,G U18 1X,final,B,,JHAR 1,GGHS 1,CRAI 1,ROTG 1,NGAR 1,CAMB 1,STPC 1,,""
454 (F),09:10,29,G U18 1X,final,A,RAHS 1,KGCA 1,STMG 1,HAMG 1,CASH 1,HAUR 1,GLDW 1,WTLG 1,,"medals"
455 (G),09:23,30,B U18 1X,final,B,STPC 1,OTUM 1,HAMB 1,NELB 1,WAKA 1,GBHS 1,SPLH 2,STPA 1,,""
456 (H),09:30,30,B U18 1X,final,A,NPLB 1,STKV 1,MTAL 1,TRGB 1,MLBB 1,BAYF 1,SPLH 1,WLCO 1,,"medals"
457 (I),09:43,31,G U15 2X,final,B,ASHB 1,MACL 1,HUAN 1,WHGG 1,STHI 1,WNHS 1,HAMG 2,TRGG 1,,""
458 (J),09:50,31,G U15 2X,final,A,STIL 1,MTAL 1,TIMG 1,CRAI 1,HAMG 1,WAKA 1,GERA 1,TAKA 1,,"medals"
459 (K),10:03,32,B U15 4X+,final,B,STKT 1,GLDW 1,STPA 1,AGSB 1,MTAL 1,AGSB 2,SHIR 1,WAKA 2,,""
460 (L),10:10,32,B U15 4X+,final,A,MTAS 1,WNCS 1,JMCG 1,HAUR 1,SPLH 1,WAKA 1,MLBB 1,STPC 1,,"medals"
461 (M),10:30,33,G U17 8+,final,A,WLGC 1,STKT 1,DIOC 1,RRGS 1,STMG 1,RRGS 2,BARA 1,STPC 1,,"medals"
462 (N),10:43,34,B U17 4+,final,B,HAMB 1,STAN 2,CHCO 2,WTLB 1,GBHS 1,MLBB 1,WTLB 2,TIMB 1,,""
463 (O),10:50,34,B U17 4+,final,A,STAN 1,CBHS 1,STBD 1,STPA 1,AGSB 1,CHCO 1,STKT 1,STKT 2,,"medals"
464 (P),11:03,35,G N18 4X+,final,B,STPC 1,MTAL 1,IONA 1,WAKA 2,VILL 1,STKV 1,QMAR 1,STKT 1,,""
465 (Q),11:10,35,G N18 4X+,final,A,CASH 1,COLU 1,NPLG 1,MLBG 1,WTKG 1,SHGH 1,WAKA 1,WNHS 1,,"medals"
466 (R),11:23,36,B N18 4+,final,B,TRGB 1,SPTW 1,CASH 1,FRAN 1,WTLB 1,PAPA 1,SJHM 1,TIMB 1,,""
467 (S),11:30,36,B N18 4+,final,A,HAMB 1,MLBB 1,KGCA 1,CHCO 2,CHCO 1,STBD 1,WNHS 1,AGSB 1,,"medals"
